Zipcodes,Population,% Asians,National Rank,Latitude,Longitude,City,State
55379,23250.0,2.14 %,"#4,437",44.743507,-93.526107,Shakopee,Minnesota
55436,12607.0,2.08 %,"#4,527",44.907173,-93.375086,Minneapolis,Minnesota
55912,28012.0,1.95 %,"#4,754",43.681093,-92.991927,Austin,Minnesota
55057,22011.0,1.93 %,"#4,787",44.461428,-93.170878,Northfield,Minnesota
55024,21125.0,1.93 %,"#4,788",44.628546,-93.138429,Farmington,Minnesota
55345,22227.0,1.91 %,"#4,823",44.913313,-93.485581,Minnetonka,Minnesota
55042,7583.0,1.88 %,"#4,873",44.987826,-92.909592,Lake Elmo,Minnesota
55812,10085.0,1.79 %,"#5,045",46.811660,-92.073969,Duluth,Minnesota
55340,5836.0,1.79 %,"#5,046",45.078263,-93.572118,Hamel,Minnesota
56755,170.0,1.76 %,"#5,122",48.954110,-97.176447,Saint Vincent,Minnesota
55118,27270.0,1.68 %,"#5,277",44.894315,-93.100947,Saint Paul,Minnesota
55433,34714.0,1.66 %,"#5,335",45.160411,-93.314839,Minneapolis,Minnesota
55316,22422.0,1.65 %,"#5,359",45.165902,-93.414665,Champlin,Minnesota
55613,187.0,1.60 %,"#5,499",47.650387,-90.947618,Schroeder,Minnesota
55386,3448.0,1.59 %,"#5,514",44.865204,-93.678932,Victoria,Minnesota
55055,3795.0,1.58 %,"#5,544",44.882459,-92.993015,Newport,Minnesota
55424,9821.0,1.58 %,"#5,546",44.905026,-93.344834,Minneapolis,Minnesota
55318,19232.0,1.58 %,"#5,547",44.810762,-93.636185,Chaska,Minnesota
56572,5622.0,1.58 %,"#5,548",46.608073,-96.084515,Pelican Rapids,Minnesota
56525,127.0,1.57 %,"#5,581",46.662700,-96.748351,Comstock,Minnesota
55044,35085.0,1.56 %,"#5,603",44.634455,-93.272760,Lakeville,Minnesota
55448,26551.0,1.49 %,"#5,775",45.193911,-93.299952,Minneapolis,Minnesota
55110,39703.0,1.46 %,"#5,862",45.098195,-93.005239,Saint Paul,Minnesota
55021,27377.0,1.45 %,"#5,883",44.299709,-93.278946,Faribault,Minnesota
56160,279.0,1.43 %,"#5,925",43.841157,-94.804734,Odin,Minnesota
55960,2797.0,1.43 %,"#5,927",44.139506,-92.543519,Oronoco,Minnesota
56258,14846.0,1.42 %,"#5,970",44.436649,-95.746449,Marshall,Minnesota
55016,30141.0,1.39 %,"#6,055",44.826135,-92.926328,Cottage Grove,Minnesota
56328,143.0,1.39 %,"#6,056",45.955721,-94.514478,Flensburg,Minnesota
55014,26384.0,1.37 %,"#6,109",45.161745,-93.127980,Circle Pines,Minnesota
55076,18589.0,1.35 %,"#6,176",44.840187,-93.037013,Inver Grove Heights,Minnesota
56082,12232.0,1.33 %,"#6,241",44.339326,-94.027736,Saint Peter,Minnesota
56228,1048.0,1.33 %,"#6,242",44.951236,-94.685179,Cosmos,Minnesota
56249,379.0,1.31 %,"#6,317",45.318795,-95.904576,Holloway,Minnesota
56374,10062.0,1.30 %,"#6,359",45.605126,-94.333471,Saint Joseph,Minnesota
56003,12769.0,1.29 %,"#6,383",44.209337,-94.092010,Mankato,Minnesota
56659,155.0,1.29 %,"#6,384",47.657721,-94.063841,Max,Minnesota
56155,469.0,1.27 %,"#6,453",43.765868,-95.946055,Lismore,Minnesota
55959,2191.0,1.27 %,"#6,454",44.080236,-91.738376,Minnesota City,Minnesota
55038,10687.0,1.27 %,"#6,455",45.165641,-92.971909,Hugo,Minnesota
55391,16135.0,1.26 %,"#6,496",44.968226,-93.525645,Wayzata,Minnesota
55364,14983.0,1.24 %,"#6,571",44.945432,-93.693523,Mound,Minnesota
55368,2248.0,1.24 %,"#6,572",44.738870,-93.899119,Norwood Young America,Minnesota
55071,5185.0,1.23 %,"#6,616",44.811097,-92.994716,Saint Paul Park,Minnesota
56267,6739.0,1.23 %,"#6,618",45.583774,-95.922393,Morris,Minnesota
56225,826.0,1.21 %,"#6,681",45.459406,-96.440095,Clinton,Minnesota
56165,419.0,1.19 %,"#6,753",43.725343,-95.703057,Reading,Minnesota
56560,35005.0,1.18 %,"#6,801",46.841159,-96.737393,Moorhead,Minnesota
55070,5575.0,1.16 %,"#6,891",45.409935,-93.376536,Saint Francis,Minnesota
55606,272.0,1.10 %,"#7,156",47.920026,-89.987848,Hovland,Minnesota
56377,12656.0,1.08 %,"#7,245",45.646154,-94.247791,Sartell,Minnesota
56729,187.0,1.06 %,"#7,345",48.645080,-96.548732,Halma,Minnesota
55331,17584.0,1.03 %,"#7,483",44.894464,-93.602068,Excelsior,Minnesota
56295,289.0,1.03 %,"#7,485",45.035813,-95.826677,Watson,Minnesota
55771,1755.0,1.02 %,"#7,534",48.116822,-92.904103,Orr,Minnesota
56688,98.0,1.02 %,"#7,535",47.805467,-93.839563,Wirt,Minnesota
56756,878.0,1.02 %,"#7,536",48.868116,-95.500480,Salol,Minnesota
55001,2664.0,1.01 %,"#7,575",44.898776,-92.819108,Afton,Minnesota
56646,393.0,1.01 %,"#7,576",47.856501,-95.613016,Gully,Minnesota
55360,1527.0,0.98 %,"#7,716",44.915960,-93.919645,Mayer,Minnesota
55304,39049.0,0.98 %,"#7,717",45.258795,-93.269238,Andover,Minnesota
56243,1752.0,0.97 %,"#7,771",45.170240,-94.686488,Grove City,Minnesota
55802,2452.0,0.97 %,"#7,772",46.756024,-92.104967,Duluth,Minnesota
55041,7462.0,0.97 %,"#7,773",44.392491,-92.314893,Lake City,Minnesota
55060,26230.0,0.96 %,"#7,824",44.055769,-93.231453,Owatonna,Minnesota
56731,106.0,0.94 %,"#7,915",48.897857,-97.095479,Humboldt,Minnesota
56027,1188.0,0.92 %,"#8,012",43.523843,-94.092773,Elmore,Minnesota
55806,9587.0,0.90 %,"#8,154",46.771670,-92.128933,Duluth,Minnesota
56157,665.0,0.90 %,"#8,155",44.403427,-95.970694,Lynd,Minnesota
55303,42088.0,0.90 %,"#8,157",45.288281,-93.431100,Anoka,Minnesota
55375,1907.0,0.89 %,"#8,208",44.908752,-93.752716,Saint Bonifacius,Minnesota
55811,25294.0,0.88 %,"#8,283",46.843194,-92.226430,Duluth,Minnesota
55372,22828.0,0.85 %,"#8,456",44.682895,-93.403141,Prior Lake,Minnesota
55056,10835.0,0.85 %,"#8,457",45.509408,-92.961454,North Branch,Minnesota
55069,4557.0,0.85 %,"#8,458",45.690491,-92.967440,Rush City,Minnesota
56216,827.0,0.84 %,"#8,511",44.942507,-95.059378,Blomkest,Minnesota
55075,20108.0,0.83 %,"#8,578",44.887994,-93.043004,South Saint Paul,Minnesota
55082,30311.0,0.83 %,"#8,579",45.069391,-92.833860,Stillwater,Minnesota
55322,2754.0,0.83 %,"#8,580",44.766102,-93.781817,Cologne,Minnesota
56214,846.0,0.82 %,"#8,651",44.603676,-95.322581,Belview,Minnesota
55357,3497.0,0.80 %,"#8,791",45.105802,-93.673208,Loretto,Minnesota
56586,1770.0,0.79 %,"#8,850",46.318269,-95.830900,Underwood,Minnesota
55933,251.0,0.79 %,"#8,851",43.643388,-92.682502,Elkton,Minnesota
56601,28491.0,0.78 %,"#8,928",47.503156,-94.881399,Bemidji,Minnesota
56315,1534.0,0.78 %,"#8,929",45.980177,-95.594062,Brandon,Minnesota
55804,14263.0,0.78 %,"#8,930",46.933068,-91.927159,Duluth,Minnesota
56727,787.0,0.76 %,"#9,060",48.331617,-95.303599,Grygla,Minnesota
56140,131.0,0.76 %,"#9,062",43.898613,-96.352976,Ihlen,Minnesota
56134,395.0,0.75 %,"#9,131",43.790501,-96.228735,Hardwick,Minnesota
55384,1473.0,0.74 %,"#9,220",44.934963,-93.636686,Spring Park,Minnesota
55350,17295.0,0.74 %,"#9,221",44.894313,-94.398785,Hutchinson,Minnesota
56358,3013.0,0.73 %,"#9,285",45.855393,-93.465499,Ogilvie,Minnesota
56360,3806.0,0.73 %,"#9,286",45.895197,-95.116621,Osakis,Minnesota
