,Zipcodes,Zipcode Latitude,Zipcode Longitude,Business,City,Zipcodes,Biz Latitude,Biz Longitude
189,55107,44.93073,-93.080271,Sun Foods,Saint Paul,55103,44.95499,-93.12435
190,55107,44.93073,-93.080271,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
192,55107,44.93073,-93.080271,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
193,55107,44.93073,-93.080271,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
195,55107,44.93073,-93.080271,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
200,55107,44.93073,-93.080271,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
206,55108,44.980341,-93.174961,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
207,55108,44.980341,-93.174961,Shanghai Wholesale,Minneapolis,55413,44.9952895,-93.2103175
208,55108,44.980341,-93.174961,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
209,55108,44.980341,-93.174961,United Noodles,Minneapolis,55404,44.958324,-93.2424698
210,55108,44.980341,-93.174961,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
211,55108,44.980341,-93.174961,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
212,55108,44.980341,-93.174961,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
213,55108,44.980341,-93.174961,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
214,55108,44.980341,-93.174961,Seoul Oriental Foods,Fridley,55432,45.0807533,-93.2411423
215,55108,44.980341,-93.174961,Sun Foods,Saint Paul,55103,44.95499,-93.12435
216,55108,44.980341,-93.174961,Midtown Global Market,Minneapolis,55407,44.948566,-93.260711
217,55108,44.980341,-93.174961,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
219,55108,44.980341,-93.174961,Caspian Bistro & Marketplace,Minneapolis,55414,44.973218,-93.222054
223,55108,44.980341,-93.174961,Little India,Minneapolis,55418,45.00713,-93.2468
227,55108,44.980341,-93.174961,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
238,55109,45.016061,-93.026441,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
239,55109,45.016061,-93.026441,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
240,55109,45.016061,-93.026441,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
241,55109,45.016061,-93.026441,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
242,55109,45.016061,-93.026441,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
243,55109,45.016061,-93.026441,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
249,55109,45.016061,-93.026441,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
252,55110,45.098195,-93.005239,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
253,55110,45.098195,-93.005239,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
257,55112,45.081866,-93.190493,Seoul Oriental Foods,Fridley,55432,45.0807533,-93.2411423
258,55112,45.081866,-93.190493,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
259,55112,45.081866,-93.190493,Shanghai Wholesale,Minneapolis,55413,44.9952895,-93.2103175
260,55112,45.081866,-93.190493,United Noodles,Minneapolis,55404,44.958324,-93.2424698
262,55112,45.081866,-93.190493,Truong Thanh Grocery Store,Minneapolis,55404,44.9566803,-93.278389
263,55112,45.081866,-93.190493,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
264,55112,45.081866,-93.190493,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
265,55112,45.081866,-93.190493,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
266,55112,45.081866,-93.190493,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
267,55112,45.081866,-93.190493,Sun Foods,Saint Paul,55103,44.95499,-93.12435
268,55112,45.081866,-93.190493,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
269,55112,45.081866,-93.190493,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
272,55112,45.081866,-93.190493,Caspian Bistro & Marketplace,Minneapolis,55414,44.973218,-93.222054
273,55112,45.081866,-93.190493,Little India,Minneapolis,55418,45.00713,-93.2468
277,55112,45.081866,-93.190493,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
278,55112,45.081866,-93.190493,Duc Loi Supermarket,Minneapolis,55404,44.9566612,-93.2774734
286,55113,45.012196,-93.151186,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
287,55113,45.012196,-93.151186,Shanghai Wholesale,Minneapolis,55413,44.9952895,-93.2103175
288,55113,45.012196,-93.151186,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
289,55113,45.012196,-93.151186,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
290,55113,45.012196,-93.151186,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
291,55113,45.012196,-93.151186,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
292,55113,45.012196,-93.151186,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
293,55113,45.012196,-93.151186,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
294,55113,45.012196,-93.151186,Sun Foods,Saint Paul,55103,44.95499,-93.12435
295,55113,45.012196,-93.151186,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
296,55113,45.012196,-93.151186,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
301,55113,45.012196,-93.151186,Caspian Bistro & Marketplace,Minneapolis,55414,44.973218,-93.222054
302,55113,45.012196,-93.151186,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
310,55116,44.910719,-93.169581,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
311,55116,44.910719,-93.169581,United Noodles,Minneapolis,55404,44.958324,-93.2424698
312,55116,44.910719,-93.169581,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
313,55116,44.910719,-93.169581,Hana Asian Market,Bloomington,55425,44.83685,-93.24967
314,55116,44.910719,-93.169581,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
315,55116,44.910719,-93.169581,Shanghai Wholesale,Minneapolis,55413,44.9952895,-93.2103175
316,55116,44.910719,-93.169581,Sun Foods,Saint Paul,55103,44.95499,-93.12435
317,55116,44.910719,-93.169581,Saigon Asian Food Market,Burnsville,55337,44.7884281,-93.2463804
318,55116,44.910719,-93.169581,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
319,55116,44.910719,-93.169581,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
320,55116,44.910719,-93.169581,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
321,55116,44.910719,-93.169581,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
326,55116,44.910719,-93.169581,Caspian Bistro & Marketplace,Minneapolis,55414,44.973218,-93.222054
328,55116,44.910719,-93.169581,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
335,55116,44.910719,-93.169581,Little India,Minneapolis,55418,45.00713,-93.2468
340,55117,45.003562,-93.09128,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
341,55117,45.003562,-93.09128,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
342,55117,45.003562,-93.09128,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
343,55117,45.003562,-93.09128,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
344,55117,45.003562,-93.09128,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
345,55117,45.003562,-93.09128,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
346,55117,45.003562,-93.09128,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
347,55117,45.003562,-93.09128,Sun Foods,Saint Paul,55103,44.95499,-93.12435
348,55117,45.003562,-93.09128,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
349,55117,45.003562,-93.09128,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
350,55117,45.003562,-93.09128,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
353,55117,45.003562,-93.09128,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
363,55118,44.894315,-93.100947,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
364,55118,44.894315,-93.100947,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
365,55118,44.894315,-93.100947,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
366,55118,44.894315,-93.100947,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
367,55118,44.894315,-93.100947,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
368,55118,44.894315,-93.100947,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
369,55118,44.894315,-93.100947,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
370,55118,44.894315,-93.100947,Sun Foods,Saint Paul,55103,44.95499,-93.12435
371,55118,44.894315,-93.100947,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
